customer_id,first_name,last_name,email,phone,address_line1,address_line2,city,state,zip_code,country,date_joined,customer_tier
DANJOH0001,Danielle,Johnson,danielle.johnson@email.com,510-328-3286,18196 Anthony Forge,,San Diego,CA,91906,USA,2023-06-19,Silver
WILJOH0002,William,Johnson,william.johnson35@aol.com,415-338-9279,79402 Peterson Drives Apt. 511,,Los Angeles,CA,93113,USA,2023-03-27,Silver
COLABB0003,Colin,Abbott,colin.abbott30@outlook.com,925-703-5557,781 Miller Hill,,Cleveland,OH,45575,USA,2024-06-13,Silver
CHRHEN0004,Christine,Hensley,christine15@gmail.com,442-444-2674,34131 Ramirez Roads,Apt 619,Dallas,TX,78491,USA,2024-05-15,Bronze
FRAKEL0005,Francisco,Kelly,francisco.kelly15@yahoo.com,310-400-6925,283 Steven Groves,,Columbus,OH,45622,USA,2024-08-24,Platinum
HAIROB0006,Hailey,Robinson,h.robinson@aol.com,626-203-7227,05641 Robin Port,Suite 380,Buffalo,NY,12578,USA,2023-08-12,Gold
JASPOR0007,Jason,Porter,jason.p@hotmail.com,818-275-9751,42388 Burgess Meadow Suite 532,,Albany,NY,14175,USA,2025-04-16,Gold
TRECAM0008,Trevor,Campos,trevor.campos82@hotmail.com,858-432-1916,269 Paul Ranch,Apt 11,Raleigh,NC,27964,USA,2025-03-21,Platinum
ALLMAD0009,Allison,Maddox,a.maddox@yahoo.com,657-758-8517,184 Rodriguez Mews,Apt 765,Savannah,GA,30324,USA,2025-03-21,Bronze
SHAMCK0010,Shawn,Mckay,shawnmckay@aol.com,213-193-1771,281 Skinner Parkways Apt. 252,,Fort Worth,TX,79921,USA,2025-04-07,Platinum
STENIE0011,Stephanie,Nielsen,stephanie.nielsen11@aol.com,831-710-8668,0154 Brian Wells Apt. 171,,Syracuse,NY,14364,USA,2025-05-23,Silver
KATAND0012,Katie,Anderson,katie74@gmail.com,442-756-6573,8963 Jennifer Locks,Unit 4,Greensboro,NC,28381,USA,2024-01-24,Bronze
DEBKIM0013,Debra,Kim,debra30@gmail.com,747-303-3504,31509 Brianna Avenue,,Naperville,IL,60291,USA,2024-03-10,Gold
JEABRO0014,Jean,Brown,jeanbrown@yahoo.com,929-471-6038,1834 Lewis Curve,Apt 88,Atlanta,GA,31482,USA,2022-11-03,Silver
SELDUN0015,Selena,Duncan,selenaduncan@aol.com,628-640-7932,3116 Henderson Mountain Apt. 106,,Raleigh,NC,28497,USA,2024-01-21,Silver
MATHEN0016,Matthew,Hensley,matthew.hensley@gmail.com,657-629-8397,726 Joshua Gateway,Apt 3C,Erie,PA,15618,USA,2023-05-21,Bronze
SCOCAL0017,Scott,Callahan,scott.c@yahoo.com,347-132-6413,801 Gabriel Oval,Apt 9,San Francisco,CA,93944,USA,2024-04-15,Silver
JASMOR0018,Jason,Morales,jason.morales69@gmail.com,929-199-8062,64746 Moore Hill Apt. 098,,Cleveland,OH,43250,USA,2022-10-25,Gold
JULBRO0019,Julie,Brown,juliebrown@yahoo.com,831-845-6559,81219 Emma Freeway,,New York,NY,13308,USA,2024-05-22,Silver
DAVZAM0020,David,Zamora,davidzamora@outlook.com,917-385-8579,169 Donovan Ford,Apt 15A,San Antonio,TX,78076,USA,2023-05-18,Silver
JOHFOS0021,John,Foster,john.f@hotmail.com,657-160-3697,5107 Charles Forest Suite 251,,Jacksonville,FL,33004,USA,2024-08-26,Silver
MIKMOO0022,Mike,Moore,mike17@outlook.com,646-294-5861,808 Huynh Cove Apt. 411,Apt 766,Durham,NC,28526,USA,2025-02-19,Silver
ANGNEL0023,Angela,Nelson,angela.nelson@aol.com,718-620-2312,48740 Cynthia Village Suite 005,,Raleigh,NC,28585,USA,2024-06-14,Silver
DAVWHI0024,David,Whitney,david.whitney@outlook.com,657-683-5033,680 Charles Spurs Apt. 805,,Columbus,OH,45386,USA,2023-02-14,Gold
ANGJOR0025,Angela,Jordan,a.jordan@outlook.com,408-367-4346,53315 Dickson Summit Apt. 322,,Lansing,MI,49806,USA,2022-10-06,Silver
ROBWHI0026,Robert,White,robertwhite@hotmail.com,408-869-2188,342 Patrick Camp Suite 337,Suite 19A,Joliet,IL,61433,USA,2025-05-30,Bronze
KEVPOP0027,Kevin,Pope,kevin.pope88@email.com,650-261-8179,365 Lin Trail,,Orlando,FL,33147,USA,2023-04-28,Gold
MICHIC0028,Michael,Hicks,michael.hicks@gmail.com,714-779-2697,14294 Daniel Mews Suite 569,,Greensboro,NC,28053,USA,2024-09-04,Bronze
DARLAM0029,Darrell,Lam,darrell.lam97@hotmail.com,650-719-4450,608 Michael Cliff,,Austin,TX,78207,USA,2023-03-18,Silver
CINALV0030,Cindy,Alvarado,c.alvarado@yahoo.com,347-749-7939,465 Terry Plaza Apt. 366,,Chicago,IL,62775,USA,2023-01-05,Silver
KAITHO0031,Kaitlin,Thompson,kaitlin.thompson19@yahoo.com,760-552-8007,044 Russell Prairie Suite 777,,Aurora,IL,62768,USA,2024-05-06,Silver
